id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Aceh Utara_2023-11-20T00:00:00,Aceh Utara,2023-11-20 00:00:00,3,Berawan,90,23,73
Aceh Utara_2023-11-20T06:00:00,Aceh Utara,2023-11-20 06:00:00,63,Hujan Lebat,65,30,86
Aceh Utara_2023-11-20T12:00:00,Aceh Utara,2023-11-20 12:00:00,95,Hujan Petir,90,24,75
Aceh Utara_2023-11-20T18:00:00,Aceh Utara,2023-11-20 18:00:00,95,Hujan Petir,95,23,73
Agam_2023-11-20T00:00:00,Agam,2023-11-20 00:00:00,1,Cerah Berawan,95,23,73
Agam_2023-11-20T06:00:00,Agam,2023-11-20 06:00:00,60,Hujan Ringan,90,29,84
Agam_2023-11-20T12:00:00,Agam,2023-11-20 12:00:00,3,Berawan,100,22,72
Agam_2023-11-20T18:00:00,Agam,2023-11-20 18:00:00,3,Berawan,95,22,72
Alor_2023-11-20T00:00:00,Alor,2023-11-20 00:00:00,0,,70,29,84
Alor_2023-11-20T06:00:00,Alor,2023-11-20 06:00:00,1,Cerah Berawan,65,32,90
Alor_2023-11-20T12:00:00,Alor,2023-11-20 12:00:00,0,,80,27,81
Alor_2023-11-20T18:00:00,Alor,2023-11-20 18:00:00,0,,95,23,73
Ambon_2023-11-20T00:00:00,Ambon,2023-11-20 00:00:00,3,Berawan,80,29,84
Ambon_2023-11-20T06:00:00,Ambon,2023-11-20 06:00:00,3,Berawan,65,32,90
Ambon_2023-11-20T12:00:00,Ambon,2023-11-20 12:00:00,1,Cerah Berawan,80,28,82
Ambon_2023-11-20T18:00:00,Ambon,2023-11-20 18:00:00,1,Cerah Berawan,95,24,75
Anambas_2023-11-20T00:00:00,Anambas,2023-11-20 00:00:00,1,Cerah Berawan,90,25,77
Anambas_2023-11-20T06:00:00,Anambas,2023-11-20 06:00:00,61,Hujan Sedang,70,32,90
Anambas_2023-11-20T12:00:00,Anambas,2023-11-20 12:00:00,61,Hujan Sedang,85,26,79
Anambas_2023-11-20T18:00:00,Anambas,2023-11-20 18:00:00,60,Hujan Ringan,95,24,75
Asahan_2023-11-20T00:00:00,Asahan,2023-11-20 00:00:00,1,Cerah Berawan,95,23,73
Asahan_2023-11-20T06:00:00,Asahan,2023-11-20 06:00:00,1,Cerah Berawan,70,32,90
Asahan_2023-11-20T12:00:00,Asahan,2023-11-20 12:00:00,3,Berawan,85,26,79
Asahan_2023-11-20T18:00:00,Asahan,2023-11-20 18:00:00,3,Berawan,95,23,73
Asmat_2023-11-20T00:00:00,Asmat,2023-11-20 00:00:00,3,Berawan,70,27,81
Asmat_2023-11-20T06:00:00,Asmat,2023-11-20 06:00:00,60,Hujan Ringan,70,31,88
Asmat_2023-11-20T12:00:00,Asmat,2023-11-20 12:00:00,61,Hujan Sedang,85,26,79
Asmat_2023-11-20T18:00:00,Asmat,2023-11-20 18:00:00,60,Hujan Ringan,95,23,73
Badung_2023-11-20T00:00:00,Badung,2023-11-20 00:00:00,3,Berawan,85,28,82
Badung_2023-11-20T06:00:00,Badung,2023-11-20 06:00:00,3,Berawan,65,32,90
Badung_2023-11-20T12:00:00,Badung,2023-11-20 12:00:00,1,Cerah Berawan,80,28,82
Badung_2023-11-20T18:00:00,Badung,2023-11-20 18:00:00,1,Cerah Berawan,80,26,79
Balangan_2023-11-20T00:00:00,Balangan,2023-11-20 00:00:00,3,Berawan,90,27,81
Balangan_2023-11-20T06:00:00,Balangan,2023-11-20 06:00:00,95,Hujan Petir,60,33,91
Balangan_2023-11-20T12:00:00,Balangan,2023-11-20 12:00:00,60,Hujan Ringan,85,26,79
Balangan_2023-11-20T18:00:00,Balangan,2023-11-20 18:00:00,3,Berawan,95,24,75
Balikpapan_2023-11-20T00:00:00,Balikpapan,2023-11-20 00:00:00,3,Berawan,100,26,79
Balikpapan_2023-11-20T06:00:00,Balikpapan,2023-11-20 06:00:00,60,Hujan Ringan,80,29,84
Balikpapan_2023-11-20T12:00:00,Balikpapan,2023-11-20 12:00:00,60,Hujan Ringan,90,26,79
Balikpapan_2023-11-20T18:00:00,Balikpapan,2023-11-20 18:00:00,3,Berawan,100,25,77
Banda Aceh_2023-11-20T00:00:00,Banda Aceh,2023-11-20 00:00:00,1,Cerah Berawan,90,23,73
Banda Aceh_2023-11-20T06:00:00,Banda Aceh,2023-11-20 06:00:00,1,Cerah Berawan,65,31,88
Banda Aceh_2023-11-20T12:00:00,Banda Aceh,2023-11-20 12:00:00,3,Berawan,90,25,77
Banda Aceh_2023-11-20T18:00:00,Banda Aceh,2023-11-20 18:00:00,60,Hujan Ringan,95,23,73
Bandar Lampung_2023-11-20T00:00:00,Bandar Lampung,2023-11-20 00:00:00,1,Cerah Berawan,80,26,79
Bandar Lampung_2023-11-20T06:00:00,Bandar Lampung,2023-11-20 06:00:00,1,Cerah Berawan,60,31,88
Bandar Lampung_2023-11-20T12:00:00,Bandar Lampung,2023-11-20 12:00:00,1,Cerah Berawan,80,26,79
Bandar Lampung_2023-11-20T18:00:00,Bandar Lampung,2023-11-20 18:00:00,0,Cerah,90,24,75
Bandung Barat_2023-11-20T00:00:00,Bandung Barat,2023-11-20 00:00:00,1,Cerah Berawan,85,24,75
Bandung Barat_2023-11-20T06:00:00,Bandung Barat,2023-11-20 06:00:00,60,Hujan Ringan,60,28,82
Bandung Barat_2023-11-20T12:00:00,Bandung Barat,2023-11-20 12:00:00,60,Hujan Ringan,85,24,75
Bandung Barat_2023-11-20T18:00:00,Bandung Barat,2023-11-20 18:00:00,1,Cerah Berawan,90,21,70
Bandung_2023-11-20T00:00:00,Bandung,2023-11-20 00:00:00,1,Cerah Berawan,85,25,77
Bandung_2023-11-20T06:00:00,Bandung,2023-11-20 06:00:00,60,Hujan Ringan,55,31,88
Bandung_2023-11-20T12:00:00,Bandung,2023-11-20 12:00:00,1,Cerah Berawan,80,25,77
Bandung_2023-11-20T18:00:00,Bandung,2023-11-20 18:00:00,1,Cerah Berawan,90,22,72
Banggai Kepulauan_2023-11-20T00:00:00,Banggai Kepulauan,2023-11-20 00:00:00,1,Cerah Berawan,75,29,84
Banggai Kepulauan_2023-11-20T06:00:00,Banggai Kepulauan,2023-11-20 06:00:00,1,Cerah Berawan,65,33,91
Banggai Kepulauan_2023-11-20T12:00:00,Banggai Kepulauan,2023-11-20 12:00:00,1,Cerah Berawan,80,26,79
Banggai Kepulauan_2023-11-20T18:00:00,Banggai Kepulauan,2023-11-20 18:00:00,1,Cerah Berawan,90,25,77
Banggai_2023-11-20T00:00:00,Banggai,2023-11-20 00:00:00,3,Berawan,75,26,79
Banggai_2023-11-20T06:00:00,Banggai,2023-11-20 06:00:00,3,Berawan,65,33,91
Banggai_2023-11-20T12:00:00,Banggai,2023-11-20 12:00:00,1,Cerah Berawan,85,24,75
