id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Bangkalan_2023-11-24T00:00:00,Bangkalan,2023-11-24 00:00:00,1,Cerah Berawan,75,28,82
Bangkalan_2023-11-24T06:00:00,Bangkalan,2023-11-24 06:00:00,60,Hujan Ringan,55,33,91
Bangkalan_2023-11-24T12:00:00,Bangkalan,2023-11-24 12:00:00,1,Cerah Berawan,80,28,82
Bangkalan_2023-11-24T18:00:00,Bangkalan,2023-11-24 18:00:00,1,Cerah Berawan,90,26,79
Bangli_2023-11-24T00:00:00,Bangli,2023-11-24 00:00:00,1,Cerah Berawan,90,28,82
Bangli_2023-11-24T06:00:00,Bangli,2023-11-24 06:00:00,1,Cerah Berawan,75,32,90
Bangli_2023-11-24T12:00:00,Bangli,2023-11-24 12:00:00,1,Cerah Berawan,80,28,82
Bangli_2023-11-24T18:00:00,Bangli,2023-11-24 18:00:00,1,Cerah Berawan,95,26,79
Banjar_2023-11-24T00:00:00,Banjar,2023-11-24 00:00:00,4,Berawan Tebal,85,25,77
Banjar_2023-11-24T06:00:00,Banjar,2023-11-24 06:00:00,60,Hujan Ringan,65,33,91
Banjar_2023-11-24T12:00:00,Banjar,2023-11-24 12:00:00,3,Berawan,85,27,81
Banjar_2023-11-24T18:00:00,Banjar,2023-11-24 18:00:00,60,Hujan Ringan,95,24,75
Banjarbaru_2023-11-24T00:00:00,Banjarbaru,2023-11-24 00:00:00,3,Berawan,85,27,81
Banjarbaru_2023-11-24T06:00:00,Banjarbaru,2023-11-24 06:00:00,95,Hujan Petir,65,32,90
Banjarbaru_2023-11-24T12:00:00,Banjarbaru,2023-11-24 12:00:00,3,Berawan,85,27,81
Banjarbaru_2023-11-24T18:00:00,Banjarbaru,2023-11-24 18:00:00,60,Hujan Ringan,95,24,75
Banjarmasin_2023-11-24T00:00:00,Banjarmasin,2023-11-24 00:00:00,3,Berawan,85,27,81
Banjarmasin_2023-11-24T06:00:00,Banjarmasin,2023-11-24 06:00:00,95,Hujan Petir,65,32,90
Banjarmasin_2023-11-24T12:00:00,Banjarmasin,2023-11-24 12:00:00,3,Berawan,85,27,81
Banjarmasin_2023-11-24T18:00:00,Banjarmasin,2023-11-24 18:00:00,60,Hujan Ringan,95,24,75
Banjarnegara_2023-11-24T00:00:00,Banjarnegara,2023-11-24 00:00:00,3,Berawan,85,24,75
Banjarnegara_2023-11-24T06:00:00,Banjarnegara,2023-11-24 06:00:00,61,Hujan Sedang,70,28,82
Banjarnegara_2023-11-24T12:00:00,Banjarnegara,2023-11-24 12:00:00,61,Hujan Sedang,80,26,79
